White,White,#FFFFFF,255,255,255
Black,Black,#000000,0,0,0
Red,Red,#FF0000,255,0,0
Dark Red,Dark Red,#8B0000,139,0,0
Light Red,Light Red,#FFB6C1,255,182,193
Green,Green,#00FF00,0,255,0
Dark Green,Dark Green,#006400,0,100,0
Light Green,Light Green,#90EE90,144,238,144
Forest Green,Forest Green,#228B22,34,139,34
Blue,Blue,#0000FF,0,0,255
Dark Blue,Dark Blue,#00008B,0,0,139
Light Blue,Light Blue,#ADD8E6,173,216,230
Navy Blue,Navy Blue,#000080,0,0,128
Sky Blue,Sky Blue,#87CEEB,135,206,235
Yellow,Yellow,#FFFF00,255,255,0
Light Yellow,Light Yellow,#FFFFE0,255,255,224
Gold,Gold,#FFD700,255,215,0
Orange,Orange,#FFA500,255,165,0
Dark Orange,Dark Orange,#FF8C00,255,140,0
Purple,Purple,#800080,128,0,128
Violet,Violet,#EE82EE,238,130,238
Pink,Pink,#FFC0CB,255,192,203
Hot Pink,Hot Pink,#FF69B4,255,105,180
Brown,Brown,#A52A2A,165,42,42
Saddle Brown,Saddle Brown,#8B4513,139,69,19
Tan,Tan,#D2B48C,210,180,140
Gray,Gray,#808080,128,128,128
Light Gray,Light Gray,#D3D3D3,211,211,211
Dark Gray,Dark Gray,#A9A9A9,169,169,169
Silver,Silver,#C0C0C0,192,192,192
Maroon,Maroon,#800000,128,0,0
Olive,Olive,#808000,128,128,0
Lime,Lime,#00FF00,0,255,0
Aqua,Aqua,#00FFFF,0,255,255
Teal,Teal,#008080,0,128,128
Fuchsia,Fuchsia,#FF00FF,255,0,255
Beige,Beige,#F5F5DC,245,245,220
Ivory,Ivory,#FFFFF0,255,255,240
Khaki,Khaki,#F0E68C,240,230,140
Lavender,Lavender,#E6E6FA,230,230,250
Misty Rose,Misty Rose,#FFE4E1,255,228,225
Peach,Peach,#FFCBA4,255,203,164
Salmon,Salmon,#FA8072,250,128,114
Turquoise,Turquoise,#40E0D0,64,224,208
Coral,Coral,#FF7F50,255,127,80
Crimson,Crimson,#DC143C,220,20,60
Indigo,Indigo,#4B0082,75,0,130
Magenta,Magenta,#FF00FF,255,0,255
Cyan,Cyan,#00FFFF,0,255,255
Wheat,Wheat,#F5DEB3,245,222,179
Plum,Plum,#DDA0DD,221,160,221
Orchid,Orchid,#DA70D6,218,112,214
Chocolate,Chocolate,#D2691E,210,105,30
Peru,Peru,#CD853F,205,133,63
Rosy Brown,Rosy Brown,#BC8F8F,188,143,143
Steel Blue,Steel Blue,#4682B4,70,130,180
Slate Gray,Slate Gray,#708090,112,128,144
Dim Gray,Dim Gray,#696969,105,105,105
Medium Gray,Medium Gray,#BEBEBE,190,190,190
Gainsboro,Gainsboro,#DCDCDC,220,220,220
Snow,Snow,#FFFAFA,255,250,250
Mint Cream,Mint Cream,#F5FFFA,245,255,250
Honeydew,Honeydew,#F0FFF0,240,255,240
Azure,Azure,#F0FFFF,240,255,255
Alice Blue,Alice Blue,#F0F8FF,240,248,255
Ghost White,Ghost White,#F8F8FF,248,248,255
Linen,Linen,#FAF0E6,250,240,230
Antique White,Antique White,#FAEBD7,250,235,215
Papaya Whip,Papaya Whip,#FFEFD5,255,239,213
Blanched Almond,Blanched Almond,#FFEBCD,255,235,205
Bisque,Bisque,#FFE4C4,255,228,196
Moccasin,Moccasin,#FFE4B5,255,228,181
Navajo White,Navajo White,#FFDEAD,255,222,173
Peach Puff,Peach Puff,#FFDAB9,255,218,185
Misty Rose,Misty Rose,#FFE4E1,255,228,225
Lavender Blush,Lavender Blush,#FFF0F5,255,240,245
Seashell,Seashell,#FFF5EE,255,245,238
Old Lace,Old Lace,#FDF5E6,253,245,230
Floral White,Floral White,#FFFAF0,255,250,240
